run,ts,cycle,unit,side,entryPrice,exitPrice,qty,bps,pnl,exitReason,hold_sec,entry_heure,exit_heure
Run_V2,2026-08-14T19:41:23Z,36,BETA_X5,SELL,62883.20000000,62875.70000000,0.00940000,1.19268740,0.07050000,shock_inversion_stop,6,19:41:16,19:41:22
Run_V2,2026-08-14T19:42:23Z,42,BETA_X5,SELL,62918.30000000,62943.10000000,0.00470000,-3.94161953,-0.11656000,fluid_exit_inversion,6,19:42:17,19:42:23
Run_V2,2026-08-14T19:48:06Z,83,BETA_X5,SELL,62949.40000000,62938.90000000,0.00470000,1.66800637,0.04935000,shock_inversion_stop,7,19:47:59,19:48:06
Run_V2,2026-08-14T19:56:47Z,15,BETA_X5,SELL,62943.30000000,62936.60000000,0.00940000,1.06445007,0.06298000,fluid_exit_brake,8,19:56:38,19:56:46
Run_V2,2026-08-14T19:59:54Z,32,BETA_X5,SELL,62949.40000000,62949.40000000,0.00470000,-0.00000000,-0.00000000,fluid_exit_inversion,9,19:59:44,19:59:53
Run_V2,2026-08-14T20:01:06Z,38,BETA_X5,SELL,62943.70000000,62943.70000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,8,20:00:57,20:01:06
Run_V2,2026-08-14T20:01:51Z,41,BETA_X5,SELL,62947.70000000,62949.40000000,0.00470000,-0.27006547,-0.00799000,fluid_exit_inversion,12,20:01:38,20:01:50
Run_V2,2026-08-14T20:03:25Z,50,BETA_X5,SELL,62963.80000000,62955.80000000,0.00940000,1.27057134,0.07520000,shock_inversion_stop,7,20:03:18,20:03:25
Run_V2,2026-08-14T20:03:48Z,51,BETA_X5,SELL,62955.50000000,62951.90000000,0.00470000,0.57183248,0.01692000,shock_inversion_stop,7,20:03:40,20:03:47
Run_V2,2026-08-14T20:06:03Z,65,BETA_X5,SELL,62974.50000000,62974.70000000,0.00760000,-0.03175889,-0.00152000,shock_inversion_stop,7,20:05:55,20:06:03
Run_V2,2026-08-14T20:07:46Z,75,BETA_X5,SELL,62964.60000000,62969.20000000,0.00470000,-0.73056924,-0.02162000,fluid_exit_inversion,8,20:07:38,20:07:46
Run_V2,2026-08-14T20:08:17Z,77,BETA_X5,SELL,62969.20000000,62968.60000000,0.01540000,0.09528468,0.00924000,shock_inversion_stop,6,20:08:11,20:08:17
Run_V2,2026-08-14T20:09:39Z,85,BETA_X5,SELL,62975.10000000,62975.20000000,0.00940000,-0.01587929,-0.00094000,shock_inversion_stop,7,20:09:32,20:09:39
Run_V2,2026-08-14T20:10:18Z,88,BETA_X5,SELL,62976.70000000,62976.70000000,0.00940000,-0.00000000,-0.00000000,shock_inversion_stop,6,20:10:11,20:10:18
Run_V2,2026-08-14T20:11:07Z,92,BETA_X5,SELL,62979.00000000,62980.00000000,0.00940000,-0.15878309,-0.00940000,shock_inversion_stop,8,20:10:58,20:11:06
Run_V2,2026-08-14T20:12:10Z,98,BETA_X5,SELL,62975.60000000,62975.60000000,0.00940000,-0.00000000,-0.00000000,shock_inversion_stop,6,20:12:03,20:12:09
Run_V2,2026-08-14T20:14:24Z,112,BETA_X5,SELL,62975.50000000,62970.10000000,0.00940000,0.85747632,0.05076000,shock_inversion_stop,6,20:14:17,20:14:23
Run_V2,2026-08-14T20:14:54Z,114,BETA_X5,SELL,62968.60000000,62967.80000000,0.00470000,0.12704745,0.00376000,shock_inversion_stop,7,20:14:46,20:14:53
Run_V2,2026-08-14T20:16:33Z,124,BETA_X5,SELL,62969.40000000,62945.20000000,0.00470000,3.84313651,0.11374000,shock_inversion_stop,7,20:16:26,20:16:33
Run_V2,2026-08-14T20:17:11Z,127,BETA_X5,SELL,62945.20000000,62947.70000000,0.00470000,-0.39717087,-0.01175000,fluid_exit_inversion,7,20:17:04,20:17:11
Run_V2,2026-08-14T20:17:41Z,129,BETA_X5,SELL,62945.20000000,62945.20000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,20:17:34,20:17:40
Run_V2,2026-08-14T20:18:53Z,136,BETA_X5,SELL,62924.30000000,62920.80000000,0.00470000,0.55622391,0.01645000,shock_inversion_stop,7,20:18:46,20:18:53
Run_V2,2026-08-14T20:20:42Z,147,BETA_X5,SELL,62911.70000000,62913.10000000,0.00940000,-0.22253412,-0.01316000,fluid_exit_inversion,7,20:20:34,20:20:41
Run_V2,2026-08-14T20:23:38Z,165,BETA_X5,SELL,62918.60000000,62918.70000000,0.01540000,-0.01589355,-0.00154000,shock_inversion_stop,7,20:23:30,20:23:37
Run_V2,2026-08-14T20:24:09Z,167,BETA_X5,SELL,62920.80000000,62920.80000000,0.01540000,-0.00000000,-0.00000000,shock_inversion_stop,7,20:24:01,20:24:08
Run_Nuit,2026-08-14T21:49:14Z,31,BETA_X5,SELL,62881.10000000,62886.60000000,0.01580000,-0.87466663,-0.08690000,fluid_exit_inversion,7,21:49:07,21:49:14
Run_Nuit,2026-08-14T21:50:11Z,37,BETA_X5,SELL,62887.90000000,62887.60000000,0.00780000,0.04770393,0.00234000,shock_inversion_stop,5,21:50:05,21:50:10
Run_Nuit,2026-08-14T21:51:11Z,43,BETA_X5,SELL,62882.10000000,62881.90000000,0.01270000,0.03180555,0.00254000,shock_inversion_stop,5,21:51:05,21:51:11
